NAME,Nppes Provider State,Region,POPULATION,Pop_Rank
California,CA,California,38802500,1
Texas,TX,Southern,26956958,2
Florida,FL,Southern,19893297,3
New York,NY,Northeastern,19746227,4
Illinois,IL,Midwestern,12880580,5
Pennsylvania,PA,Midwestern,12787209,6
Ohio,OH,Midwestern,11594163,7
Georgia,GA,Southern,10097343,8
North Carolina,NC,Southern,9943964,9
Michigan,MI,Midwestern,9909877,10
New Jersey,NJ,Northeastern,8938175,11
Virginia,VA,Southern,8326289,12
Washington,WA,Western,7061530,13
Massachusetts,MA,Northeastern,6745408,14
Arizona,AZ,Western,6731484,15
Indiana,IN,Midwestern,6596855,16
Tennessee,TN,Southern,6549352,17
Missouri,MO,Midwestern,6063589,18
Maryland,MD,Southern,5976407,19
Wisconsin,WI,Midwestern,5757564,20
Minnesota,MN,Midwestern,5457173,21
Colorado,CO,Western,5355866,22
Alabama,AL,Southern,4849377,23
South Carolina,SC,Southern,4832482,24
Louisiana,LA,Southern,4649676,25
Kentucky,KY,Southern,4413457,26
Oregon,OR,Western,3970239,27
Oklahoma,OK,Southern,3878051,28
Connecticut,CT,Northeastern,3596677,29
Puerto Rico Commonwealth,PR,Southern,3548397,30
Iowa,IA,Midwestern,3107126,31
Mississippi,MS,Southern,2994079,32
Arkansas,AR,Southern,2966369,33
Utah,UT,Western,2942902,34
Kansas,KS,Midwestern,2904021,35
Nevada,NV,Western,2839099,36
New Mexico,NM,Western,2085572,37
Nebraska,NE,Midwestern,1881503,38
West Virginia,WV,Southern,1850326,39
Idaho,ID,Western,1634464,40
Hawaii,HI,Western,1419561,41
Maine,ME,Northeastern,1330089,42
New Hampshire,NH,Northeastern,1326813,43
Rhode Island,RI,Northeastern,1055173,44
Montana,MT,Western,1023579,45
Delaware,DE,Southern,935614,46
South Dakota,SD,Midwestern,853175,47
North Dakota,ND,Midwestern,739482,48
Alaska,AK,Western,736732,49
District of Columbia,DC,Southern,658893,50
Vermont,VT,Northeastern,626562,51
Wyoming,WY,Western,584153,52
